brand,city,publish_day,publish_hour,archive_day,archive_hour,image_count,view_count,get_contact_count,result
6,3,15,11,18,10,5,6839,359,1
29,3,16,17,,,5,13817,291,0
3,3,14,14,14,15,5,3227,55,0
3,6,11,11,11,16,5,2717,323,0
22,4,14,21,16,10,5,8534,291,1
3,5,14,0,,,5,24611,533,1
5,6,9,9,10,23,5,10469,123,0
8,7,12,19,14,22,5,18101,543,1
26,6,10,22,15,14,5,24689,447,0
12,6,16,10,,,5,14195,771,0
12,4,11,11,11,21,5,2687,95,0
10,2,9,18,13,12,5,29963,685,0
8,3,15,13,16,9,5,4151,79,1
9,4,12,12,13,13,5,10625,235,0
24,2,17,19,,,5,14288,325,0
5,4,12,15,12,18,5,2213,87,0
8,7,17,13,18,10,5,3107,55,0
3,2,12,13,15,23,5,11759,199,1
9,6,14,1,15,17,5,17759,801,0
5,7,11,16,,,5,13043,207,0
10,5,12,9,12,12,5,2621,171,0
9,4,15,12,,,5,17633,399,1
24,3,13,16,,,5,68411,315,1
12,6,11,8,12,13,5,2327,75,1
29,3,12,10,16,12,5,9068,165,0
8,2,14,14,16,16,5,4736,285,1
13,7,15,21,,,5,35975,459,0
3,3,17,13,21,14,5,14558,915,0
10,3,9,19,,,5,9749,255,0
9,5,15,21,17,10,5,15185,405,0
8,2,16,1,,,5,30554,603,0
3,6,13,0,16,17,5,39038,975,1
23,2,9,21,,,5,10487,399,0
8,5,10,5,,,5,11486,309,0
5,3,10,20,11,11,5,2627,99,0
12,6,11,14,11,16,5,2489,99,0
3,3,10,10,11,17,5,9797,343,0
9,2,17,12,,,5,25733,385,0
9,2,12,23,15,15,5,39083,711,0
10,7,9,9,,,5,15851,231,0
20,7,13,21,,,5,26237,351,1
19,7,13,15,21,19,5,12467,303,1
29,3,12,15,,,5,12521,183,0
6,6,10,19,17,15,5,13061,543,0
13,7,13,21,,,5,22925,423,0
5,5,16,14,,,5,42221,483,0
9,4,15,20,16,11,5,2123,75,1
8,5,10,20,,,5,22853,183,0
3,7,13,22,13,23,5,3839,63,1
